Column1;Команда №1;Команда №2;Счёт
;Локомотив;Уфа;0 : 0
;Ростов;Амкар;1 : 1
;Арсенал Т;Урал;1 : 2
;ЦСКА;Уфа;5 : 0
;Мордовия;Зенит;1 : 0
;Кубань;Торпедо М;1 : 1
;Локомотив;Спартак;1 : 0
;Рубин;Динамо;1 : 1
;Терек;Краснодар;0 : 1
;Арсенал Т;Уфа;0 : 1
;ЦСКА;Амкар;2 : 1
;Рубин;Зенит;0 : 1
;Локомотив;Урал;1 : 0
;Кубань;Краснодар;1 : 1
;Терек;Торпедо М;0 : 1
;Мордовия;Динамо;0 : 1
;Спартак;Ростов;1 : 1
;Зенит;Краснодар;4 : 0
;Кубань;ЦСКА;0 : 1
;Терек;Локомотив;0 : 0
;Динамо;Амкар;5 : 0
;Мордовия;Рубин;0 : 1
;Торпедо М;Уфа;2 : 2
;Ростов;Арсенал Т;0 : 1
;Спартак;Урал;2 : 0
;Терек;ЦСКА;1 : 2
;Зенит;Урал;3 : 0
;Спартак;Краснодар;1 : 3
;Динамо;Уфа;3 : 1
;Ростов;Локомотив;0 : 1
;Амкар;Торпедо М;0 : 0
;Рубин;Арсенал Т;1 : 0
;Кубань;Мордовия;0 : 0
;Краснодар;Урал;1 : 1
;Уфа;Амкар;1 : 1
;ЦСКА;Мордовия;4 : 0
;Локомотив;Арсенал Т;0 : 1
;Спартак;Динамо;1 : 0
;Торпедо М;Зенит;1 : 1
;Рубин;Терек;2 : 1
;Ростов;Кубань;2 : 1
;Уфа;Краснодар;0 : 2
;Урал;Амкар;1 : 0
;Рубин;Ростов;2 : 0
;Арсенал Т;ЦСКА;1 : 4
;Торпедо М;Спартак;0 : 1
;Динамо;Зенит;0 : 1
;Мордовия;Локомотив;0 : 0
;Кубань;Терек;1 : 0
;Амкар;Рубин;0 : 3
;Динамо;Локомотив;2 : 2
;Краснодар;Мордовия;4 : 0
;Спартак;Кубань;1 : 1
;Зенит;ЦСКА;2 : 1
;Урал;Ростов;0 : 1
;Уфа;Терек;0 : 1
;Арсенал Т;Торпедо М;1 : 3
;Мордовия;Амкар;1 : 0
;Рубин;Краснодар;1 : 2
;Терек;Зенит;1 : 2
;Кубань;Урал;0 : 2
;Локомотив;Торпедо М;2 : 0
;ЦСКА;Динамо;1 : 2
;Арсенал Т;Спартак;1 : 0
;Ростов;Уфа;2 : 0
;Краснодар;Кубань;3 : 2
;Зенит;Рубин;1 : 1
;Уфа;Арсенал Т;0 : 1
;Динамо;Мордовия;2 : 1
;Урал;Локомотив;2 : 0
;Амкар;ЦСКА;1 : 0
;Торпедо М;Терек;0 : 0
;Ростов;Спартак;2 : 1
;Уфа;Локомотив;1 : 0
;Мордовия;Спартак;1 : 3
;Рубин;Урал;2 : 1
;ЦСКА;Краснодар;1 : 1
;Терек;Динамо;0 : 0
;Кубань;Зенит;0 : 0
;Амкар;Арсенал Т;0 : 1
;Ростов;Торпедо М;1 : 0
;Уфа;Кубань;3 : 2
;Мордовия;Урал;2 : 1
;Амкар;Терек;2 : 1
;Торпедо М;ЦСКА;0 : 2
;Краснодар;Локомотив;1 : 0
;Спартак;Рубин;1 : 0
;Ростов;Динамо;2 : 2
;Зенит;Арсенал Т;1 : 0
;Спартак;Зенит;1 : 1
;Ростов;Терек;0 : 1
;Кубань;Динамо;1 : 2
;Амкар;Локомотив;1 : 1
;Торпедо М;Рубин;2 : 2
;Уфа;Мордовия;1 : 2
;Арсенал Т;Краснодар;0 : 3
;ЦСКА;Урал;3 : 1
;Урал;Уфа;1 : 1
;Рубин;Кубань;1 : 0
;Локомотив;ЦСКА;1 : 3
;Динамо;Торпедо М;0 : 0
;Зенит;Ростов;3 : 0
;Терек;Спартак;4 : 2
;Мордовия;Арсенал Т;1 : 0
;Краснодар;Амкар;1 : 1
;Мордовия;Ростов;0 : 0
;Амкар;Кубань;1 : 0
;Арсенал Т;Терек;1 : 1
;Локомотив;Рубин;3 : 0
;Спартак;ЦСКА;0 : 4
;Уфа;Зенит;1 : 1
;Краснодар;Торпедо М;2 : 2
;Урал;Динамо;2 : 1
;Амкар;Зенит;1 : 0
;Торпедо М;Урал;3 : 1
;Спартак;Уфа;1 : 2
;Краснодар;Ростов;2 : 1
;Мордовия;Терек;1 : 0
;Динамо;Арсенал Т;2 : 2
;Локомотив;Кубань;1 : 1
;ЦСКА;Рубин;3 : 0
;Динамо;Краснодар;1 : 1
;Кубань;Арсенал Т;5 : 1
;Ростов;ЦСКА;1 : 1
;Уфа;Рубин;1 : 1
;Спартак;Амкар;3 : 3
;Терек;Урал;1 : 3
;Торпедо М;Мордовия;2 : 0
;Зенит;Локомотив;1 : 0
;Спартак;Уфа;2 : 2
;ЦСКА;Рубин;1 : 0
;Ростов;Терек;1 : 1
;Зенит;Динамо;2 : 1
;Мордовия;Локомотив;0 : 1
;Анжи;Крылья Советов;0 : 1
;Амкар;Краснодар;0 : 1
;Кубань;Урал;0 : 2
;Крылья Советов;ЦСКА;0 : 2
;Уфа;Ростов;1 : 2
;Динамо;Мордовия;2 : 2
;Терек;Кубань;1 : 1
;Урал;Зенит;1 : 4
;Рубин;Амкар;0 : 2
;Краснодар;Спартак;0 : 1
;Анжи;Локомотив;1 : 3
;Кубань;Уфа;1 : 1
;Амкар;Крылья Советов;1 : 0
;Зенит;Терек;3 : 0
;ЦСКА;Анжи;1 : 0
;Локомотив;Динамо;1 : 1
;Мордовия;Урал;1 : 1
;Ростов;Краснодар;0 : 0
;Спартак;Рубин;1 : 0
;Терек;Мордовия;0 : 0
;Урал;Локомотив;1 : 3
;Анжи;Динамо;2 : 3
;ЦСКА;Амкар;2 : 0
;Уфа;Зенит;0 : 1
;Крылья Советов;Спартак;0 : 2
;Рубин;Ростов;0 : 3
;Краснодар;Кубань;1 : 1
;Амкар;Анжи;1 : 1
;Спартак;ЦСКА;1 : 2
;Зенит;Краснодар;0 : 2
;Кубань;Рубин;0 : 1
;Локомотив;Терек;0 : 0
;Динамо;Урал;1 : 0
;Ростов;Крылья Советов;1 : 1
;Мордовия;Уфа;0 : 1
;Терек;Динамо;1 : 1
;Амкар;Спартак;1 : 3
;ЦСКА;Ростов;2 : 1
;Анжи;Урал;1 : 1
;Уфа;Локомотив;0 : 3
;Краснодар;Мордовия;0 : 0
;Крылья Советов;Кубань;3 : 0
;Рубин;Зенит;1 : 3
;Урал;Терек;3 : 3
;Ростов;Амкар;1 : 0
;Динамо;Уфа;2 : 0
;Зенит;Крылья Советов;1 : 3
;Спартак;Анжи;1 : 2
;Локомотив;Краснодар;2 : 1
;Мордовия;Рубин;2 : 1
;Кубань;ЦСКА;0 : 1
;ЦСКА;Зенит;2 : 2
;Амкар;Кубань;1 : 1
;Рубин;Локомотив;3 : 1
;Спартак;Ростов;1 : 0
;Краснодар;Динамо;4 : 0
;Анжи;Терек;0 : 2
;Уфа;Урал;0 : 1
;Крылья Советов;Мордовия;1 : 0
;Ростов;Анжи;1 : 0
;Терек;Уфа;4 : 1
;Кубань;Спартак;3 : 0
;Мордовия;ЦСКА;4 : 6
;Зенит;Амкар;1 : 1
;Локомотив;Крылья Советов;2 : 0
;Урал;Краснодар;3 : 1
;Динамо;Рубин;0 : 0
;ЦСКА;Локомотив;1 : 1
;Анжи;Уфа;1 : 1
;Спартак;Зенит;2 : 2
;Крылья Советов;Динамо;0 : 0
;Краснодар;Терек;1 : 1
;Рубин;Урал;1 : 2
;Амкар;Мордовия;2 : 1
;Ростов;Кубань;2 : 1
;Урал;Крылья Советов;1 : 1
;Мордовия;Спартак;0 : 1
;Зенит;Ростов;3 : 0
;Кубань;Анжи;1 : 1
;Динамо;ЦСКА;0 : 2
;Терек;Рубин;2 : 1
;Уфа;Краснодар;1 : 1
;Локомотив;Амкар;3 : 0
;ЦСКА;Урал;3 : 2
;Амкар;Динамо;1 : 1
;Кубань;Зенит;2 : 2
;Рубин;Уфа;3 : 1
;Спартак;Локомотив;1 : 2
;Крылья Советов;Терек;0 : 2
;Анжи;Краснодар;2 : 2
;Ростов;Мордовия;3 : 2
;Уфа;Крылья Советов;1 : 0
;Урал;Амкар;3 : 1
;Мордовия;Кубань;1 : 1
;Зенит;Анжи;5 : 1
;Динамо;Спартак;2 : 3
;Краснодар;Рубин;2 : 1
;Терек;ЦСКА;0 : 0
;Локомотив;Ростов;0 : 2
;ЦСКА;Уфа;2 : 0
;Зенит;Мордовия;0 : 0
;Крылья Советов;Краснодар;0 : 4
;Анжи;Рубин;1 : 2
;Кубань;Локомотив;6 : 2
;Спартак;Урал;0 : 1
;Амкар;Терек;1 : 0
;Ростов;Динамо;1 : 0
;Мордовия;Анжи;4 : 0
;Урал;Ростов;1 : 2
;Уфа;Амкар;2 : 1
;Динамо;Кубань;2 : 1
;Терек;Спартак;2 : 1
;Рубин;Крылья Советов;2 : 0
;Краснодар;ЦСКА;2 : 1
;Локомотив;Зенит;2 : 0
;Амкар;Рубин;1 : 2
;ЦСКА;Крылья Советов;0 : 2
;Зенит;Урал;3 : 0
;Локомотив;Анжи;0 : 2
;Мордовия;Динамо;1 : 1
;Кубань;Терек;2 : 2
;Спартак;Краснодар;3 : 2
;Ростов;Уфа;1 : 1
;Урал;Мордовия;3 : 1
;Уфа;Кубань;2 : 2
;Крылья Советов;Амкар;0 : 0
;Терек;Зенит;4 : 1
;Анжи;ЦСКА;1 : 1
;Краснодар;Ростов;2 : 1
;Динамо;Локомотив;2 : 2
;Рубин;Спартак;2 : 2
;Амкар;ЦСКА;2 : 0
;Мордовия;Терек;0 : 0
;Зенит;Уфа;1 : 1
;Спартак;Крылья Советов;1 : 0
;Локомотив;Урал;2 : 2
;Кубань;Краснодар;2 : 3
;Ростов;Рубин;1 : 0
;Динамо;Анжи;1 : 2
;Крылья Советов;Ростов;0 : 1
;Рубин;Кубань;1 : 0
;Краснодар;Зенит;0 : 0
;Уфа;Мордовия;1 : 1
;Терек;Локомотив;2 : 1
;ЦСКА;Спартак;1 : 0
;Урал;Динамо;1 : 1
;Анжи;Амкар;0 : 1
;Кубань;Крылья Советов;2 : 0
;Урал;Анжи;4 : 2
;Спартак;Амкар;2 : 1
;Ростов;ЦСКА;2 : 0
;Мордовия;Краснодар;0 : 1
;Локомотив;Уфа;2 : 0
;Зенит;Рубин;4 : 2
;Динамо;Терек;0 : 1
;Амкар;Ростов;0 : 0
;Анжи;Спартак;0 : 4
;Уфа;Динамо;0 : 1
;Терек;Урал;1 : 1
;ЦСКА;Кубань;2 : 0
;Крылья Советов;Зенит;0 : 2
;Рубин;Мордовия;1 : 1
;Краснодар;Локомотив;1 : 2
;Урал;Уфа;1 : 0
;Терек;Анжи;3 : 2
;Кубань;Амкар;1 : 1
;Ростов;Спартак;2 : 0
;Локомотив;Рубин;1 : 0
;Зенит;ЦСКА;2 : 0
;Мордовия;Крылья Советов;1 : 2
;Динамо;Краснодар;1 : 4
;Анжи;Ростов;0 : 0
;ЦСКА;Мордовия;7 : 1
;Амкар;Зенит;0 : 2
;Рубин;Динамо;4 : 1
;Уфа;Терек;1 : 0
;Краснодар;Урал;6 : 0
;Спартак;Кубань;2 : 2
;Крылья Советов;Локомотив;0 : 0
;Мордовия;Амкар;1 : 1
;Терек;Краснодар;0 : 1
;Локомотив;ЦСКА;1 : 1
;Зенит;Спартак;5 : 2
;Уфа;Анжи;2 : 0
;Динамо;Крылья Советов;0 : 1
;Кубань;Ростов;0 : 1
;Урал;Рубин;0 : 1
;Крылья Советов;Урал;1 : 1
;Спартак;Мордовия;2 : 2
;Рубин;Терек;0 : 1
;Амкар;Локомотив;0 : 1
;Краснодар;Уфа;4 : 0
;ЦСКА;Динамо;1 : 0
;Анжи;Кубань;1 : 0
;Ростов;Зенит;3 : 0
;Урал;ЦСКА;0 : 3
;Зенит;Кубань;4 : 1
;Динамо;Амкар;0 : 0
;Локомотив;Спартак;0 : 2
;Уфа;Рубин;1 : 1
;Мордовия;Ростов;2 : 1
;Терек;Крылья Советов;0 : 1
;Краснодар;Анжи;3 : 0
;Крылья Советов;Уфа;1 : 0
;Ростов;Локомотив;2 : 1
;ЦСКА;Терек;1 : 0
;Анжи;Зенит;0 : 1
;Кубань;Мордовия;1 : 2
;Рубин;Краснодар;1 : 1
;Амкар;Урал;1 : 1
;Спартак;Динамо;3 : 0
;Уфа;ЦСКА;1 : 3
;Рубин;Анжи;1 : 2
;Краснодар;Крылья Советов;3 : 0
;Локомотив;Кубань;0 : 1
;Мордовия;Зенит;0 : 3
;Урал;Спартак;0 : 1
;Терек;Амкар;2 : 0
;Динамо;Ростов;1 : 3
;Крылья Советов;Рубин;1 : 1
;Анжи;Мордовия;3 : 0
;Зенит;Локомотив;1 : 1
;Амкар;Уфа;1 : 0
;Кубань;Динамо;1 : 0
;Ростов;Урал;1 : 0
;Спартак;Терек;3 : 0
;ЦСКА;Краснодар;2 : 0
;Крылья Советов;Анжи;0 : 0
;Рубин;ЦСКА;0 : 1
;Краснодар;Амкар;1 : 0
;Уфа;Спартак;3 : 1
;Терек;Ростов;0 : 2
;Урал;Кубань;2 : 0
;Динамо;Зенит;0 : 3
;Локомотив;Мордовия;3 : 0
;Зенит;Локомотив;0 : 0
;Анжи;ЦСКА;0 : 0
;Ростов;Оренбург;1 : 0
;Урал;Уфа;2 : 0
;Спартак;Арсенал Т;4 : 0
;Терек;Крылья Советов;1 : 0
;Краснодар;Томь;3 : 0
;Рубин;Амкар;0 : 0
;Уфа;Зенит;0 : 0
;Арсенал Т;Рубин;1 : 0
;Оренбург;ЦСКА;0 : 1
;Амкар;Анжи;2 : 0
;Локомотив;Томь;2 : 2
;Ростов;Урал;0 : 0
;Спартак;Крылья Советов;1 : 0
;Краснодар;Терек;4 : 0
;Зенит;Ростов;3 : 2
;Урал;ЦСКА;0 : 1
;Крылья Советов;Краснодар;1 : 1
;Рубин;Спартак;1 : 1
;Томь;Уфа;1 : 0
;Анжи;Арсенал Т;1 : 0
;Терек;Локомотив;1 : 1
;Оренбург;Амкар;0 : 0
;Рубин;Анжи;1 : 2
;Уфа;Терек;1 : 3
;Зенит;ЦСКА;1 : 1
;Ростов;Томь;3 : 0
;Амкар;Урал;1 : 0
;Спартак;Краснодар;2 : 0
;Локомотив;Крылья Советов;0 : 0
;Арсенал Т;Оренбург;0 : 0
;Крылья Советов;Уфа;0 : 1
;Оренбург;Рубин;1 : 1
;Томь;ЦСКА;0 : 1
;Зенит;Амкар;3 : 0
;Урал;Арсенал Т;1 : 1
;Терек;Ростов;2 : 1
;Краснодар;Локомотив;1 : 2
;Анжи;Спартак;0 : 2
;Ростов;Крылья Советов;2 : 1
;Амкар;Томь;1 : 0
;Оренбург;Анжи;0 : 0
;ЦСКА;Терек;3 : 0
;Уфа;Краснодар;0 : 0
;Спартак;Локомотив;1 : 0
;Арсенал Т;Зенит;0 : 5
;Рубин;Урал;3 : 1
;Оренбург;Спартак;1 : 3
;Томь;Арсенал Т;1 : 0
;Урал;Анжи;0 : 1
;Терек;Амкар;1 : 3
;Локомотив;Уфа;0 : 1
;Крылья Советов;ЦСКА;1 : 2
;Краснодар;Ростов;2 : 1
;Зенит;Рубин;4 : 1
;ЦСКА;Краснодар;1 : 1
;Ростов;Локомотив;1 : 0
;Оренбург;Урал;0 : 1
;Арсенал Т;Терек;0 : 0
;Спартак;Уфа;0 : 1
;Анжи;Зенит;2 : 2
;Амкар;Крылья Советов;0 : 0
;Рубин;Томь;2 : 1
;Томь;Урал;1 : 1
;Крылья Советов;Анжи;2 : 1
;Локомотив;Арсенал Т;1 : 1
;Терек;Оренбург;2 : 1
;Уфа;Амкар;1 : 1
;Зенит;Спартак;4 : 2
;Ростов;ЦСКА;2 : 0
;Краснодар;Рубин;1 : 0
;ЦСКА;Уфа;1 : 0
;Амкар;Локомотив;0 : 0
;Рубин;Крылья Советов;3 : 0
;Спартак;Ростов;1 : 0
;Урал;Зенит;0 : 2
;Оренбург;Томь;3 : 1
;Арсенал Т;Краснодар;0 : 0
;Анжи;Терек;0 : 0
;Крылья Советов;Арсенал Т;1 : 1
;Томь;Анжи;0 : 3
;Уфа;Ростов;0 : 0
;Урал;Спартак;0 : 1
;Терек;Рубин;3 : 1
;Локомотив;ЦСКА;1 : 0
;Краснодар;Амкар;1 : 0
;Зенит;Оренбург;1 : 0
;Амкар;Ростов;1 : 0
;Спартак;ЦСКА;3 : 1
;Урал;Терек;1 : 4
;Арсенал Т;Уфа;0 : 2
;Зенит;Томь;1 : 0
;Анжи;Краснодар;0 : 0
;Оренбург;Крылья Советов;1 : 0
;Рубин;Локомотив;2 : 0
;Томь;Спартак;0 : 1
;Уфа;Рубин;2 : 3
;Крылья Советов;Урал;2 : 2
;Локомотив;Анжи;4 : 0
;Терек;Зенит;2 : 1
;Ростов;Арсенал Т;4 : 1
;ЦСКА;Амкар;2 : 2
;Краснодар;Оренбург;3 : 3
;Арсенал Т;ЦСКА;0 : 1
;Рубин;Ростов;0 : 0
;Оренбург;Локомотив;1 : 1
;Анжи;Уфа;0 : 1
;Краснодар;Урал;3 : 0
;Спартак;Амкар;1 : 0
;Зенит;Крылья Советов;3 : 1
;Терек;Томь;0 : 0
;Уфа;Оренбург;1 : 0
;Амкар;Арсенал Т;1 : 0
;ЦСКА;Рубин;0 : 0
;Локомотив;Урал;1 : 1
;Терек;Спартак;0 : 1
;Крылья Советов;Томь;3 : 0
;Ростов;Анжи;2 : 0
;Краснодар;Зенит;2 : 1
;Урал;Ростов;1 : 0
;Рубин;Арсенал Т;1 : 0
;ЦСКА;Оренбург;2 : 0
;Зенит;Уфа;2 : 0
;Крылья Советов;Спартак;4 : 0
;Терек;Краснодар;2 : 1
;Томь;Локомотив;1 : 6
;Анжи;Амкар;3 : 1
;ЦСКА;Урал;4 : 0
;Ростов;Зенит;0 : 0
;Локомотив;Терек;2 : 0
;Уфа;Томь;1 : 0
;Амкар;Оренбург;3 : 0
;Краснодар;Крылья Советов;1 : 1
;Спартак;Рубин;2 : 1
;Арсенал Т;Анжи;1 : 0
;Томь;Ростов;0 : 6
;Оренбург;Арсенал Т;3 : 0
;ЦСКА;Зенит;0 : 0
;Урал;Амкар;1 : 0
;Крылья Советов;Локомотив;0 : 3
;Краснодар;Спартак;2 : 2
;Терек;Уфа;0 : 1
;Анжи;Рубин;0 : 1
;Арсенал Т;Урал;2 : 0
;Уфа;Крылья Советов;1 : 0
;ЦСКА;Томь;4 : 0
;Рубин;Оренбург;0 : 0
;Амкар;Зенит;1 : 0
;Спартак;Анжи;1 : 0
;Ростов;Терек;0 : 0
;Локомотив;Краснодар;1 : 2
;Анжи;Оренбург;1 : 0
;Томь;Амкар;1 : 0
;Урал;Рубин;1 : 0
;Локомотив;Спартак;1 : 1
;Крылья Советов;Ростов;0 : 0
;Терек;ЦСКА;0 : 1
;Краснодар;Уфа;0 : 0
;Зенит;Арсенал Т;2 : 0
;Анжи;Урал;2 : 3
;Уфа;Локомотив;0 : 1
;Арсенал Т;Томь;3 : 0
;Амкар;Терек;1 : 1
;Рубин;Зенит;0 : 2
;ЦСКА;Крылья Советов;2 : 1
;Ростов;Краснодар;0 : 0
;Спартак;Оренбург;3 : 2
;Крылья Советов;Амкар;2 : 2
;Терек;Арсенал Т;3 : 1
;Зенит;Анжи;1 : 1
;Уфа;Спартак;1 : 3
;Краснодар;ЦСКА;1 : 1
;Локомотив;Ростов;0 : 0
;Томь;Рубин;2 : 2
;Урал;Оренбург;2 : 0
;Амкар;Уфа;1 : 1
;ЦСКА;Ростов;0 : 0
;Анжи;Крылья Советов;1 : 3
;Рубин;Краснодар;0 : 1
;Оренбург;Терек;2 : 1
;Урал;Томь;1 : 0
;Арсенал Т;Локомотив;0 : 3
;Спартак;Зенит;2 : 1
;Уфа;ЦСКА;0 : 2
;Зенит;Урал;2 : 0
;Ростов;Спартак;3 : 0
;Локомотив;Амкар;3 : 3
;Терек;Анжи;0 : 1
;Томь;Оренбург;1 : 2
;Крылья Советов;Рубин;0 : 0
;Краснодар;Арсенал Т;2 : 0
;Спартак;Урал;1 : 0
;Ростов;Уфа;1 : 0
;Оренбург;Зенит;0 : 1
;Рубин;Терек;0 : 1
;Арсенал Т;Крылья Советов;2 : 0
;ЦСКА;Локомотив;4 : 0
;Амкар;Краснодар;0 : 2
;Анжи;Томь;3 : 3
;Локомотив;Рубин;0 : 1
;Терек;Урал;5 : 2
;Уфа;Арсенал Т;1 : 0
;ЦСКА;Спартак;1 : 2
;Ростов;Амкар;1 : 0
;Томь;Зенит;0 : 2
;Крылья Советов;Оренбург;1 : 1
;Краснодар;Анжи;0 : 0
;Амкар;ЦСКА;0 : 2
;Арсенал Т;Ростов;1 : 0
;Спартак;Томь;1 : 0
;Оренбург;Краснодар;1 : 0
;Рубин;Уфа;2 : 1
;Зенит;Терек;0 : 1
;Урал;Крылья Советов;1 : 3
;Анжи;Локомотив;0 : 0
;ЦСКА;Арсенал Т;3 : 0
;Урал;Краснодар;1 : 1
;Амкар;Спартак;0 : 1
;Крылья Советов;Зенит;1 : 3
;Локомотив;Оренбург;4 : 0
;Томь;Терек;1 : 2
;Уфа;Анжи;2 : 1
;Ростов;Рубин;4 : 2
;Томь;Крылья Советов;0 : 2
;Оренбург;Уфа;1 : 1
;Урал;Локомотив;1 : 2
;Спартак;Терек;3 : 0
;Рубин;ЦСКА;0 : 2
;Анжи;Ростов;1 : 2
;Зенит;Краснодар;1 : 0
;Арсенал Т;Амкар;0 : 0
;Арсенал Т;Спартак;3 : 0
;Амкар;Рубин;1 : 2
;ЦСКА;Анжи;4 : 0
;Оренбург;Ростов;2 : 0
;Уфа;Урал;1 : 0
;Локомотив;Зенит;0 : 2
;Томь;Краснодар;1 : 5
;Крылья Советов;Терек;1 : 3
;Урал;Ростов;1 : 1
;Тосно;Уфа;0 : 1
;Анжи;ЦСКА;1 : 3
;СКА-Хабаровск;Зенит;0 : 2
;Рубин;Краснодар;1 : 2
;Ахмат;Амкар;1 : 0
;Локомотив;Арсенал Т;1 : 0
;Динамо;Спартак;2 : 2
;Анжи;Амкар;1 : 0
;ЦСКА;Локомотив;1 : 3
;Зенит;Рубин;2 : 1
;Краснодар;Тосно;2 : 0
;Уфа;Спартак;0 : 0
;Динамо;Урал;0 : 1
;Ростов;Ахмат;0 : 1
;Арсенал Т;СКА-Хабаровск;1 : 0
;ЦСКА;СКА-Хабаровск;2 : 0
;Урал;Уфа;1 : 1
;Рубин;Арсенал Т;2 : 1
;Ахмат;Динамо;2 : 0
;Амкар;Ростов;0 : 1
;Локомотив;Анжи;1 : 0
;Тосно;Зенит;0 : 1
;Спартак;Краснодар;2 : 0
;Анжи;Ростов;0 : 1
;Уфа;Ахмат;3 : 2
;Динамо;Амкар;3 : 0
;Локомотив;СКА-Хабаровск;1 : 0
;Арсенал Т;Тосно;1 : 2
;ЦСКА;Рубин;1 : 2
;Зенит;Спартак;5 : 1
;Краснодар;Урал;1 : 1
;СКА-Хабаровск;Анжи;2 : 0
;Амкар;Уфа;0 : 0
;Урал;Зенит;1 : 1
;Спартак;Арсенал Т;2 : 0
;Рубин;Локомотив;1 : 1
;Тосно;ЦСКА;1 : 2
;Ростов;Динамо;1 : 0
;Ахмат;Краснодар;2 : 3
;Уфа;Ростов;1 : 4
;ЦСКА;Спартак;2 : 1
;Анжи;Динамо;1 : 3
;СКА-Хабаровск;Рубин;1 : 1
;Локомотив;Тосно;0 : 2
;Зенит;Ахмат;4 : 0
;Краснодар;Амкар;1 : 1
;Арсенал Т;Урал;2 : 2
;Тосно;СКА-Хабаровск;0 : 0
;Урал;ЦСКА;0 : 0
;Спартак;Локомотив;3 : 4
;Рубин;Анжи;6 : 0
;Амкар;Зенит;0 : 1
;Динамо;Уфа;1 : 1
;Ростов;Краснодар;0 : 0
;Ахмат;Арсенал Т;1 : 2
;Анжи;Уфа;1 : 0
;Арсенал Т;Амкар;0 : 1
;Рубин;Тосно;1 : 0
;Локомотив;Урал;2 : 1
;СКА-Хабаровск;Спартак;0 : 0
;ЦСКА;Ахмат;0 : 1
;Зенит;Ростов;0 : 0
;Краснодар;Динамо;2 : 0
;Амкар;ЦСКА;0 : 1
;Тосно;Анжи;2 : 2
;Ростов;Арсенал Т;2 : 2
;Спартак;Рубин;1 : 0
;Динамо;Зенит;0 : 0
;Уфа;Краснодар;0 : 1
;Ахмат;Локомотив;1 : 1
;Урал;СКА-Хабаровск;1 : 1
;Арсенал Т;Динамо;1 : 0
;ЦСКА;Ростов;2 : 0
;Анжи;Краснодар;1 : 5
;СКА-Хабаровск;Ахмат;2 : 2
;Тосно;Спартак;2 : 2
;Рубин;Урал;0 : 1
;Локомотив;Амкар;0 : 1
;Зенит;Уфа;3 : 0
;Динамо;ЦСКА;0 : 0
;Спартак;Анжи;2 : 2
;Урал;Тосно;3 : 1
;Ростов;Локомотив;0 : 1
;Уфа;Арсенал Т;1 : 0
;Краснодар;Зенит;0 : 2
;Амкар;СКА-Хабаровск;3 : 0
;Ахмат;Рубин;1 : 0
;Арсенал Т;Краснодар;1 : 0
;СКА-Хабаровск;Ростов;2 : 1
;Тосно;Ахмат;1 : 0
;Рубин;Амкар;0 : 1
;Спартак;Урал;2 : 0
;ЦСКА;Уфа;0 : 0
;Локомотив;Динамо;3 : 0
;Анжи;Зенит;2 : 2
;Ахмат;Спартак;1 : 2
;Динамо;СКА-Хабаровск;2 : 0
;Урал;Анжи;2 : 1
;Краснодар;ЦСКА;0 : 1
;Уфа;Локомотив;1 : 0
;Ростов;Рубин;0 : 1
;Зенит;Арсенал Т;0 : 1
;Амкар;Тосно;0 : 0
;СКА-Хабаровск;Уфа;2 : 2
;Тосно;Ростов;1 : 1
;Рубин;Динамо;0 : 0
;Спартак;Амкар;0 : 0
;Урал;Ахмат;2 : 0
;ЦСКА;Зенит;0 : 0
;Анжи;Арсенал Т;3 : 2
;Локомотив;Краснодар;2 : 0
;Арсенал Т;ЦСКА;1 : 0
;Ростов;Спартак;2 : 2
;Амкар;Урал;1 : 1
;Динамо;Тосно;0 : 1
;Зенит;Локомотив;0 : 3
;Краснодар;СКА-Хабаровск;4 : 1
;Уфа;Рубин;2 : 1
;Ахмат;Анжи;1 : 1
;Урал;Динамо;2 : 2
;Тосно;Краснодар;1 : 3
;Ахмат;Ростов;1 : 0
;СКА-Хабаровск;Арсенал Т;1 : 2
;Амкар;Анжи;1 : 2
;Локомотив;ЦСКА;2 : 2
;Рубин;Зенит;0 : 0
;Спартак;Уфа;3 : 1
;СКА-Хабаровск;ЦСКА;2 : 4
;Динамо;Ахмат;1 : 1
;Краснодар;Спартак;1 : 4
;Арсенал Т;Рубин;0 : 0
;Уфа;Урал;2 : 0
;Анжи;Локомотив;0 : 1
;Ростов;Амкар;0 : 0
;Зенит;Тосно;5 : 0
;Амкар;Динамо;2 : 1
;Тосно;Арсенал Т;3 : 2
;Ахмат;Уфа;2 : 1
;Урал;Краснодар;0 : 1
;Рубин;ЦСКА;0 : 1
;Ростов;Анжи;2 : 0
;СКА-Хабаровск;Локомотив;1 : 2
;Спартак;Зенит;3 : 1
;ЦСКА;Тосно;6 : 0
;Арсенал Т;Спартак;0 : 1
;Зенит;Урал;2 : 1
;Динамо;Ростов;2 : 0
;Локомотив;Рубин;1 : 0
;Уфа;Амкар;3 : 0
;Краснодар;Ахмат;3 : 2
;Анжи;СКА-Хабаровск;4 : 0
;Урал;Арсенал Т;1 : 1
;Динамо;Анжи;2 : 0
;Рубин;СКА-Хабаровск;3 : 1
;Амкар;Краснодар;1 : 3
;Спартак;ЦСКА;3 : 0
;Ростов;Уфа;1 : 0
;Тосно;Локомотив;1 : 3
;Ахмат;Зенит;0 : 0
;Анжи;Рубин;1 : 1
;ЦСКА;Урал;1 : 0
;Зенит;Амкар;0 : 0
;Краснодар;Ростов;3 : 1
;СКА-Хабаровск;Тосно;0 : 1
