Column1;Команда №1;Команда №2;Счёт
;КАМАЗ-Чаллы;Крылья Советов;0 : 0
;Динамо;Локомотив НН;4 : 1
;Уралмаш;Спартак;0 : 2
;Черноморец;Уралмаш;2 : 2
;Локомотив;Балтика;3 : 1
;Ротор;Алания;3 : 0
;ЦСКА;Жемчужина;3 : 0
;Лада;Зенит;1 : 0
;Энергия-Текстильщик;Ростсельмаш;1 : 1
;Локомотив НН;Торпедо-Лужники;1 : 0
;Крылья Советов;Динамо;0 : 2
;Спартак;КАМАЗ-Чаллы;3 : 1
;Локомотив;Уралмаш;5 : 1
;Ротор;Черноморец;3 : 1
;Лада;Алания;0 : 3
;Энергия-Текстильщик;Жемчужина;0 : 1
;Локомотив НН;Зенит;2 : 1
;Крылья Советов;Ростсельмаш;0 : 2
;Спартак;Торпедо-Лужники;2 : 2
;Динамо;КАМАЗ-Чаллы;1 : 0
;ЦСКА;Балтика;0 : 0
;КАМАЗ-Чаллы;Алания;0 : 1
;Торпедо-Лужники;Зенит;2 : 1
;Лада;ЦСКА;0 : 2
;Локомотив НН;Локомотив;0 : 0
;Крылья Советов;Черноморец;1 : 0
;Динамо;Жемчужина;2 : 1
;Спартак;Балтика;0 : 0
;Энергия-Текстильщик;Ротор;1 : 4
;Уралмаш;Ростсельмаш;2 : 1
;Торпедо-Лужники;Крылья Советов;1 : 0
;Ростсельмаш;Локомотив НН;2 : 3
;Зенит;Энергия-Текстильщик;2 : 0
;Жемчужина;Лада;2 : 1
;Алания;ЦСКА;0 : 1
;Балтика;Ротор;0 : 1
;Черноморец;Локомотив;1 : 1
;КАМАЗ-Чаллы;Уралмаш;2 : 1
;Динамо;Спартак;2 : 1
;Торпедо-Лужники;КАМАЗ-Чаллы;2 : 1
;Ростсельмаш;Спартак;2 : 4
;Зенит;Крылья Советов;1 : 0
;Жемчужина;Локомотив НН;1 : 0
;Алания;Энергия-Текстильщик;2 : 1
;Балтика;Лада;2 : 0
;Черноморец;ЦСКА;2 : 1
;Ротор;Локомотив;2 : 1
;Уралмаш;Динамо;1 : 4
;Динамо;Торпедо-Лужники;1 : 0
;Спартак;Зенит;0 : 2
;ЦСКА;Локомотив;1 : 3
;Лада;Черноморец;1 : 1
;Энергия-Текстильщик;Балтика;0 : 2
;Локомотив НН;Алания;1 : 2
;Крылья Советов;Жемчужина;2 : 2
;КАМАЗ-Чаллы;Ростсельмаш;2 : 7
;Уралмаш;Ротор;2 : 4
;ЦСКА;Энергия-Текстильщик;2 : 2
;Жемчужина;Торпедо-Лужники;1 : 2
;Алания;Динамо;4 : 2
;Черноморец;Спартак;0 : 3
;Зенит;Ростсельмаш;0 : 2
;Балтика;КАМАЗ-Чаллы;0 : 0
;Локомотив;Крылья Советов;1 : 1
;Лада;Уралмаш;3 : 2
;Ротор;Локомотив НН;2 : 0
;Динамо;Ростсельмаш;2 : 2
;ЦСКА;Ротор;1 : 0
;Лада;Локомотив;1 : 0
;Энергия-Текстильщик;Черноморец;0 : 1
;Локомотив НН;Балтика;1 : 0
;Крылья Советов;Алания;1 : 1
;Спартак;Жемчужина;2 : 0
;Уралмаш;Торпедо-Лужники;1 : 0
;КАМАЗ-Чаллы;Зенит;3 : 1
;Ростсельмаш;Торпедо-Лужники;2 : 2
;Зенит;Динамо;1 : 0
;Алания;Спартак;2 : 2
;Балтика;Крылья Советов;5 : 0
;Черноморец;Локомотив НН;3 : 0
;Локомотив;Энергия-Текстильщик;1 : 0
;Жемчужина;КАМАЗ-Чаллы;3 : 0
;ЦСКА;Уралмаш;1 : 1
;Ротор;Лада;2 : 0
;Ростсельмаш;Жемчужина;1 : 1
;Энергия-Текстильщик;Лада;1 : 0
;Локомотив НН;ЦСКА;1 : 3
;Крылья Советов;Ротор;0 : 3
;Спартак;Локомотив;3 : 2
;КАМАЗ-Чаллы;Черноморец;5 : 0
;Динамо;Балтика;3 : 1
;Уралмаш;Зенит;1 : 3
;Торпедо-Лужники;Алания;2 : 2
;Динамо;Локомотив;4 : 2
;Торпедо-Лужники;Черноморец;0 : 2
;Спартак;ЦСКА;3 : 1
;Ростсельмаш;Балтика;0 : 1
;Зенит;Алания;1 : 0
;Локомотив НН;Энергия-Текстильщик;3 : 1
;Крылья Советов;Лада;3 : 1
